,Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Import_€_Any
0,2015,1,Ciutat Vella,1,el Raval,10896
1,2015,1,Ciutat Vella,2,el Barri Gòtic,14456
2,2015,1,Ciutat Vella,3,la Barceloneta,14714
3,2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",15154
4,2015,2,Eixample,5,el Fort Pienc,20817
5,2015,2,Eixample,6,la Sagrada Família,21089
6,2015,2,Eixample,7,la Dreta de l'Eixample,25759
7,2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,24252
8,2015,2,Eixample,9,la Nova Esquerra de l'Eixample,23180
9,2015,2,Eixample,10,Sant Antoni,20496
10,2015,3,Sants-Montjuïc,11,el Poble Sec,14664
11,2015,3,Sants-Montjuïc,12,la Marina del Prat Vermell,11935
12,2015,3,Sants-Montjuïc,13,la Marina de Port,16119
13,2015,3,Sants-Montjuïc,14,la Font de la Guatlla,18850
14,2015,3,Sants-Montjuïc,15,Hostafrancs,18397
15,2015,3,Sants-Montjuïc,16,la Bordeta,18514
16,2015,3,Sants-Montjuïc,17,Sants - Badal,18297
17,2015,3,Sants-Montjuïc,18,Sants,19987
18,2015,4,Les Corts,19,les Corts,25740
19,2015,4,Les Corts,20,la Maternitat i Sant Ramon,23709
20,2015,4,Les Corts,21,Pedralbes,33169
21,2015,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",22840
22,2015,5,Sarrià-Sant Gervasi,23,Sarrià,28847
23,2015,5,Sarrià-Sant Gervasi,24,les Tres Torres,33899
24,2015,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,29681
25,2015,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,31298
26,2015,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,26114
27,2015,6,Gràcia,28,Vallcarca i els Penitents,24090
28,2015,6,Gràcia,29,el Coll,18934
29,2015,6,Gràcia,30,la Salut,22090
30,2015,6,Gràcia,31,la Vila de Gràcia,20602
31,2015,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,23093
32,2015,7,Horta-Guinardó,33,el Baix Guinardó,20216
33,2015,7,Horta-Guinardó,34,Can Baró,18883
34,2015,7,Horta-Guinardó,35,el Guinardó,19816
35,2015,7,Horta-Guinardó,36,la Font d'en Fargues,22559
36,2015,7,Horta-Guinardó,37,el Carmel,14395
37,2015,7,Horta-Guinardó,38,la Teixonera,16003
38,2015,7,Horta-Guinardó,39,Sant Genís dels Agudells,17061
39,2015,7,Horta-Guinardó,40,Montbau,17628
40,2015,7,Horta-Guinardó,41,la Vall d'Hebron,22082
41,2015,7,Horta-Guinardó,42,la Clota,18079
42,2015,7,Horta-Guinardó,43,Horta,18285
43,2015,8,Nou Barris,44,Vilapicina i la Torre Llobeta,18294
44,2015,8,Nou Barris,45,Porta,16518
45,2015,8,Nou Barris,46,el Turó de la Peira,13602
46,2015,8,Nou Barris,47,Can Peguera,12002
47,2015,8,Nou Barris,48,la Guineueta,18285
48,2015,8,Nou Barris,49,Canyelles,17003
49,2015,8,Nou Barris,50,les Roquetes,12593
50,2015,8,Nou Barris,51,Verdun,13519
51,2015,8,Nou Barris,52,la Prosperitat,15152
52,2015,8,Nou Barris,53,la Trinitat Nova,11206
53,2015,8,Nou Barris,54,Torre Baró,10912
54,2015,8,Nou Barris,55,Ciutat Meridiana,10203
55,2015,8,Nou Barris,56,Vallbona,10768
56,2015,9,Sant Andreu,57,la Trinitat Vella,11305
57,2015,9,Sant Andreu,58,Baró de Viver,11217
58,2015,9,Sant Andreu,59,el Bon Pastor,14361
59,2015,9,Sant Andreu,60,Sant Andreu,20177
60,2015,9,Sant Andreu,61,la Sagrera,18638
61,2015,9,Sant Andreu,62,el Congrés i els Indians,18536
62,2015,9,Sant Andreu,63,Navas,19020
63,2015,10,Sant Martí,64,el Camp de l'Arpa del Clot,19561
64,2015,10,Sant Martí,65,el Clot,19157
65,2015,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,19663
66,2015,10,Sant Martí,67,la Vila Olímpica del Poblenou,30058
67,2015,10,Sant Martí,68,el Poblenou,20371
68,2015,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,23274
69,2015,10,Sant Martí,70,el Besòs i el Maresme,12474
70,2015,10,Sant Martí,71,Provençals del Poblenou,18642
71,2015,10,Sant Martí,72,Sant Martí de Provençals,17613
72,2015,10,Sant Martí,73,la Verneda i la Pau,16022
0,2016,1,Ciutat Vella,1,el Raval,10980
1,2016,1,Ciutat Vella,2,el Barri Gòtic,14411
2,2016,1,Ciutat Vella,3,la Barceloneta,14618
3,2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",15930
